CBF,Time,Type,Game
404399,25:00 - 2T,NR,304
337508,03:00 - 1T,NR,305
401167,+3 - 2T,NR,305
179974,21:00 - 1T,NR,306
308392,28:00 - 2T,NR,306
303545,39:00 - 2T,NR,306
420539,+3 - 1T,NR,307
402646,13:00 - 2T,NR,308
292976,40:00 - 2T,PN,308
312907,35:00 - 2T,NR,309
323184,14:00 - 1T,NR,310
311439,37:00 - 1T,NR,310
304035,42:00 - 2T,NR,312
441035,20:00 - 2T,NR,313
315979,22:00 - 2T,NR,313
445174,26:00 - 2T,NR,313
423003,13:00 - 1T,NR,314
542491,19:00 - 1T,NR,315
360598,31:00 - 1T,NR,315
442637,10:00 - 2T,NR,315
383244,34:00 - 1T,NR,316
350223,38:00 - 2T,NR,316
360443,05:00 - 2T,NR,317
291780,06:00 - 2T,NR,317
179773,31:00 - 2T,NR,317
384617,02:00 - 1T,FT,318
179974,07:00 - 1T,NR,318
370113,11:00 - 2T,PN,319
424347,+8 - 2T,NR,319
423003,19:00 - 1T,NR,321
381149,39:00 - 1T,PN,321
291855,42:00 - 2T,NR,321
291855,45:00 - 2T,NR,321
381689,25:00 - 1T,NR,324
457493,15:00 - 2T,NR,324
337508,18:00 - 1T,NR,325
337508,20:00 - 1T,NR,325
337508,14:00 - 2T,NR,325
308392,15:00 - 2T,NR,326
170095,+2 - 2T,PN,326
303018,38:00 - 2T,NR,327
301087,04:00 - 1T,NR,329
170178,34:00 - 1T,NR,330
432298,41:00 - 1T,NR,331
339155,13:00 - 1T,NR,332
321820,01:00 - 2T,NR,332
401045,32:00 - 2T,NR,332
367343,45:00 - 2T,NR,332
404399,24:00 - 1T,NR,334
305360,09:00 - 2T,NR,334
341594,35:00 - 2T,NR,334
305521,39:00 - 2T,NR,334
565236,35:00 - 1T,PN,335
314382,07:00 - 2T,PN,335
383244,14:00 - 2T,NR,335
387314,07:00 - 1T,NR,336
174071,24:00 - 1T,FT,336
350018,25:00 - 1T,NR,337
352481,29:00 - 1T,PN,337
295845,35:00 - 1T,NR,337
316561,07:00 - 1T,NR,339
179974,10:00 - 2T,NR,339
181824,+4 - 2T,NR,339
360467,21:00 - 1T,NR,340
310802,21:00 - 2T,NR,340
376405,38:00 - 2T,PN,340
307957,33:00 - 1T,NR,341
381149,32:00 - 2T,PN,341
402340,19:00 - 1T,NR,342
434038,29:00 - 1T,NR,342
376405,+4 - 1T,PN,342
370113,41:00 - 1T,PN,345
300738,12:00 - 1T,NR,346
345933,+1 - 1T,NR,346
170540,08:00 - 2T,FT,346
394762,23:00 - 2T,NR,346
179974,32:00 - 2T,NR,346
179773,21:00 - 1T,PN,347
565236,15:00 - 1T,NR,349
441035,19:00 - 2T,NR,349
168956,20:00 - 2T,NR,349
305360,30:00 - 1T,NR,350
162905,34:00 - 1T,NR,350
313001,08:00 - 2T,NR,350
305521,26:00 - 2T,NR,350
150549,32:00 - 1T,NR,351
179974,09:00 - 2T,NR,351
301087,31:00 - 2T,NR,351
318165,11:00 - 1T,NR,352
344517,21:00 - 1T,NR,352
350899,22:00 - 1T,NR,352
303237,28:00 - 1T,NR,352
344517,36:00 - 1T,NR,352
161745,45:00 - 1T,PN,352
401045,44:00 - 2T,NR,352
307018,16:00 - 1T,NR,353
304035,32:00 - 1T,NR,353
307018,43:00 - 1T,NR,353
633725,30:00 - 2T,NR,353
605477,40:00 - 2T,NR,353
353336,+1 - 2T,NR,353
367343,05:00 - 1T,NR,354
355752,17:00 - 1T,NR,354
367343,12:00 - 2T,PN,354
293188,39:00 - 1T,NR,355
291732,26:00 - 2T,NR,355
298361,31:00 - 2T,NR,355
166075,42:00 - 2T,NR,355
183975,15:00 - 1T,NR,356
413841,28:00 - 2T,NR,356
428683,04:00 - 1T,NR,358
292976,20:00 - 1T,NR,358
185126,30:00 - 1T,NR,358
441070,08:00 - 2T,NR,358
542491,17:00 - 2T,NR,358
419436,+5 - 2T,PN,360
298995,21:00 - 1T,NR,362
298995,07:00 - 2T,CT,362
401045,+6 - 2T,NR,362
404399,26:00 - 1T,NR,364
404399,43:00 - 1T,NR,364
531707,16:00 - 2T,NR,364
306706,28:00 - 2T,NR,364
331532,44:00 - 2T,NR,365
378811,21:00 - 1T,NR,366
308392,03:00 - 2T,NR,366
605477,39:00 - 2T,NR,367
378682,43:00 - 2T,NR,367
291780,+4 - 2T,NR,367
351632,14:00 - 2T,CT,368
565236,41:00 - 1T,NR,370
377082,44:00 - 1T,NR,370
313029,32:00 - 2T,NR,370
313855,+1 - 2T,NR,370
423003,07:00 - 1T,NR,371
438212,22:00 - 1T,NR,371
350899,16:00 - 2T,NR,371
161437,05:00 - 1T,NR,372
583022,15:00 - 1T,NR,372
341594,21:00 - 1T,NR,372
605477,27:00 - 1T,NR,372
583022,32:00 - 1T,NR,372
359001,10:00 - 2T,NR,372
177802,22:00 - 2T,NR,372
583022,30:00 - 2T,NR,372
161437,43:00 - 2T,PN,372
170540,05:00 - 1T,NR,373
307018,16:00 - 1T,NR,373
633725,25:00 - 2T,NR,373
305521,33:00 - 2T,NR,373
300738,45:00 - 2T,NR,373
158893,30:00 - 1T,NR,374
179974,37:00 - 1T,NR,375
646878,25:00 - 2T,NR,377
441070,38:00 - 1T,NR,378
365355,13:00 - 2T,NR,378
441035,18:00 - 2T,NR,379
182466,04:00 - 1T,NR,380
370113,10:00 - 2T,NR,380
419436,34:00 - 2T,NR,380
182466,+8 - 2T,PN,380
