Competição,Ano,Jogo
Serie C,2020,524
Serie D,2020,524
Copa do Brasil,2020,524
Serie A,2020,525
Serie B,2020,525
Serie C,2020,525
Serie D,2020,525
Copa do Brasil,2020,525
Serie A,2020,526
Serie B,2020,526
Serie C,2020,526
Serie D,2020,526
Copa do Brasil,2020,526
Serie A,2020,527
Serie B,2020,527
Serie C,2020,527
Serie D,2020,527
Copa do Brasil,2020,527
Serie A,2020,528
Serie B,2020,528
Serie C,2020,528
Serie D,2020,528
Copa do Brasil,2020,528
Serie A,2020,529
Serie B,2020,529
Serie C,2020,529
Serie D,2020,529
Copa do Brasil,2020,529
Serie A,2020,530
Serie B,2020,530
Serie C,2020,530
Serie D,2020,530
Copa do Brasil,2020,530
Serie A,2020,531
Serie B,2020,531
Serie C,2020,531
Serie D,2020,531
Copa do Brasil,2020,531
Serie A,2020,532
Serie B,2020,532
Serie C,2020,532
Serie D,2020,532
Copa do Brasil,2020,532
Serie A,2020,533
Serie B,2020,533
Serie C,2020,533
Serie D,2020,533
Copa do Brasil,2020,533
Serie A,2020,534
Serie B,2020,534
Serie C,2020,534
Serie D,2020,534
Copa do Brasil,2020,534
Serie A,2020,535
Serie B,2020,535
Serie C,2020,535
Serie D,2020,535
Copa do Brasil,2020,535
Serie A,2020,536
Serie B,2020,536
Serie C,2020,536
Serie D,2020,536
Copa do Brasil,2020,536
Serie A,2020,537
Serie B,2020,537
Serie C,2020,537
Serie D,2020,537
Copa do Brasil,2020,537
Serie A,2020,538
Serie B,2020,538
Serie C,2020,538
Serie D,2020,538
Copa do Brasil,2020,538
Serie A,2020,539
Serie B,2020,539
Serie C,2020,539
Serie D,2020,539
Copa do Brasil,2020,539
Serie A,2020,540
Serie B,2020,540
Serie C,2020,540
Serie D,2020,540
Copa do Brasil,2020,540
Serie A,2020,541
Serie B,2020,541
Serie C,2020,541
Serie D,2020,541
Copa do Brasil,2020,541
Serie A,2020,542
Serie B,2020,542
Serie C,2020,542
Serie D,2020,542
Copa do Brasil,2020,542
Serie A,2020,543
Serie B,2020,543
Serie C,2020,543
Serie D,2020,543
Copa do Brasil,2020,543
Serie A,2020,544
Serie B,2020,544
Serie C,2020,544
Serie D,2020,544
Copa do Brasil,2020,544
Serie A,2020,545
Serie B,2020,545
Serie C,2020,545
Serie D,2020,545
Copa do Brasil,2020,545
Serie A,2020,546
Serie B,2020,546
Serie C,2020,546
Serie D,2020,546
Copa do Brasil,2020,546
Serie A,2020,547
Serie B,2020,547
Serie C,2020,547
Serie D,2020,547
Copa do Brasil,2020,547
Serie A,2020,548
Serie B,2020,548
Serie C,2020,548
Serie D,2020,548
Copa do Brasil,2020,548
Serie A,2020,549
Serie B,2020,549
Serie C,2020,549
Serie D,2020,549
Copa do Brasil,2020,549
Serie A,2020,550
Serie B,2020,550
Serie C,2020,550
Serie D,2020,550
Copa do Brasil,2020,550
Serie A,2020,551
Serie B,2020,551
Serie C,2020,551
Serie D,2020,551
Copa do Brasil,2020,551
Serie A,2020,552
Serie B,2020,552
Serie C,2020,552
Serie D,2020,552
Copa do Brasil,2020,552
Serie A,2020,553
Serie B,2020,553
Serie C,2020,553
Serie D,2020,553
Copa do Brasil,2020,553
Serie A,2020,554
Serie B,2020,554
Serie C,2020,554
Serie D,2020,554
Copa do Brasil,2020,554
Serie A,2020,555
Serie B,2020,555
Serie C,2020,555
Serie D,2020,555
Copa do Brasil,2020,555
Serie A,2020,556
Serie B,2020,556
Serie C,2020,556
Serie D,2020,556
Copa do Brasil,2020,556
Serie A,2020,557
Serie B,2020,557
Serie C,2020,557
Serie D,2020,557
Copa do Brasil,2020,557
Serie A,2020,558
Serie B,2020,558
Serie C,2020,558
Serie D,2020,558
Copa do Brasil,2020,558
Serie A,2020,559
Serie B,2020,559
Serie C,2020,559
Serie D,2020,559
Copa do Brasil,2020,559
Serie A,2020,560
Serie B,2020,560
Serie C,2020,560
Serie D,2020,560
Copa do Brasil,2020,560
Serie A,2020,561
Serie B,2020,561
Serie C,2020,561
Serie D,2020,561
Copa do Brasil,2020,561
Serie A,2020,562
Serie B,2020,562
Serie C,2020,562
Serie D,2020,562
Copa do Brasil,2020,562
Serie A,2020,563
Serie B,2020,563
Serie C,2020,563
Serie D,2020,563
